cmpdname,BoilingPoint,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify1
Ethylene Glycol,470.65,62.07,40.5,4,2,2,0,2,1,0,0,Alcohol
"2,3-Butanediol",455.15,90.12,40.5,6,2,4,0,2,2,0,0,Alcohol
1-Butanol,390.75,74.12,20.2,5,1,4,0,1,0,0,0,Alcohol
Methane,111.65,16.043,0,1,0,1,0,0,0,0,0,Hydrocarbon
Octane,398.77,114.23,0,8,0,8,0,0,0,0,0,Hydrocarbon
Dimethylamine,280.45,45.08,12,3,1,2,1,0,0,0,0,Amine
Ethanol,351.39,46.07,20.2,3,1,2,0,1,0,0,0,Alcohol
Glycerol,562.15,92.09,60.7,6,3,3,0,3,2,0,0,Alcohol
Methanol,337.65,32.042,20.2,2,1,1,0,1,0,0,0,Alcohol
1-Octanol,467.85,130.229,20.2,9,1,8,0,1,0,0,0,Alcohol
Propylene Glycol,460.45,76.09,40.5,5,2,3,0,2,1,0,0,Alcohol
1-Propanol,370.19,60.1,20.2,4,1,3,0,1,0,0,0,Alcohol
Trimethylamine,275.95,59.11,3.2,4,1,3,1,0,1,0,0,Amine
3-(Dibutylamino)propylamine,478.2,186.34,29.3,13,2,11,2,0,1,0,0,Amine
1-Hexadecanol,598.15,242.44,20.2,17,1,16,0,1,0,0,0,Alcohol
Dioctylamine,580.85,241.46,12,17,1,16,1,0,0,0,0,Amine
Ethylenediamine,390.05,60.1,52,4,2,2,2,0,1,0,0,Amine
Batyl alcohol,886.42,344.6,49.7,24,3,21,0,3,1,0,0,Alcohol
Isopropyl Alcohol,355.36,60.1,20.2,4,1,3,0,1,1,0,0,Alcohol
Triethylenetetramine,539.65,146.23,76.1,10,4,6,4,0,1,0,0,Amine
Sorbitol,704,182.17,121,12,6,6,0,6,5,0,0,Alcohol
"N,N,N',N'-Tetramethylmethanediamine",356.65,102.18,6.5,7,2,5,2,0,2,0,0,Amine
Bis(3-aminopropyl)amine,493.15,131.22,64.099,9,3,6,3,0,1,0,0,Amine
Mannitol,888.2,182.17,121,12,6,6,0,6,5,0,0,Alcohol
1-Pentanol,410.75,88.15,20.2,6,1,5,0,1,0,0,0,Alcohol
Ethane,184.55,30.07,0,2,0,2,0,0,0,0,0,Hydrocarbon
Ethylene,169.35,28.05,0,2,0,2,0,0,0,1,0,Hydrocarbon
Methylamine,266.75,31.057,26,2,1,1,1,0,0,0,0,Amine
Propane,231.04,44.1,0,3,0,3,0,0,0,0,0,Hydrocarbon
Propyne,249.95,40.06,0,3,0,3,0,0,0,0,1,Hydrocarbon
Ethylamine,289.75,45.08,26,3,1,2,1,0,0,0,0,Amine
Isobutane,261.45,58.12,0,4,0,4,0,0,1,0,0,Hydrocarbon
Isopropylamine,304.95,59.11,26,4,1,3,1,0,1,0,0,Amine
tert-Butylamine,317.17,73.14,26,5,1,4,1,0,2,0,0,Amine
tert-Butanol,355.45,74.12,20.2,5,1,4,0,1,2,0,0,Alcohol
"2,2-Dimethylbutane",322.85,86.18,0,6,0,6,0,0,2,0,0,Hydrocarbon
Neopentyl alcohol,385.15,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol
2-Methyl-2-butanol,375.55,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol
