cmpdname,BoilingPoint,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify1
3-Methyl-2-hexanol,426.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
"2,2-Dimethylpentan-1-ol",438.9,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
"2,2-Dimethyl-1-hexanol",445.56825,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
4-Decyne,437.4,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon
"1,6-Heptadiene",362.15,96.17,0,7,0,7,0,0,0,2,0,Hydrocarbon
"1,8-Nonadiyne",438.15,120.19,0,9,0,9,0,0,0,0,2,Hydrocarbon
Isononyl alcohol,479.15,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
Dihydromyrcene,439.15,138.25,0,10,0,10,0,0,2,2,0,Hydrocarbon
1-Tridecene,505.95,182.35,0,13,0,13,0,0,0,1,0,Hydrocarbon
2-Methyl-1-hexadecanol,680.3,256.5,20.2,18,1,17,0,1,1,0,0,Alcohol
3-Methoxy-1-butanol,432.15,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
Pentadecylamine,585.15,227.43,26,16,1,15,1,0,0,0,0,Amine
Hexaethylene glycol,490.15,282.33,86.6,19,7,12,0,7,1,0,0,Alcohol
2-Methyl-2-hexene,368.15,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"1,12-Dodecanediamine",572.15,200.36,52,14,2,12,2,0,1,0,0,Amine
4-Methylpentadecane,565.24,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
2-Propoxyethanol,425.15,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol
2-Octyne,411.15,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon
4-Methyldecane,461.15,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon
3-Methylpentadecane,539.5,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
"2,5-Hexanediol",502.15,118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
Didodecylamine,453.15,353.7,12,25,1,24,1,0,0,0,0,Amine
"1,1,4,7,7-Pentamethyldiethylenetriamine",471.15,173.3,9.7,12,3,9,3,0,3,0,0,Amine
"3-Hexyne-2,5-diol",529.36,114.14,40.5,8,2,6,0,2,2,0,1,Alcohol
"1,2,4-Butanetriol",567.22,106.12,60.7,7,3,4,0,3,2,0,0,Alcohol
4-Ethyl-2-methylhexane,407.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
3-Ethyl-3-methylhexane,413.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
3-Ethyl-4-methylhexane,413.15,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"4,4-Dimethyl-1-pentanol",433.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
1-Tricosanol,664,340.6,20.2,24,1,23,0,1,0,0,0,Alcohol
2-Methyloctane,416.15,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
Ocimene,346.15,136.23,0,10,0,10,0,0,2,3,0,Hydrocarbon
1-Octen-3-OL,447.15,128.21,20.2,9,1,8,0,1,1,1,0,Alcohol
3-Methyl-1-hexene,357.15,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"2-Ethyl-1,3-butadiene",346.15,82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
"2,3-Dimethyl-1-pentene",357.15,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"3,3-Dimethyl-1-pentene",350.15,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"2,5-Dimethyl-2-hexene",386.15,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
N-Methyldibutylamine,432.15,143.27,3.2,10,1,9,1,0,1,0,0,Amine
1-Eicosene,614.15,280.5,0,20,0,20,0,0,0,1,0,Hydrocarbon
1-Nonyne,423.95,124.22,0,9,0,9,0,0,0,0,1,Hydrocarbon
"3,5,5-Trimethyl-1-hexanol",466.15,144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
1-Hepten-4-OL,425.25,114.19,20.2,8,1,7,0,1,1,1,0,Alcohol
"2,2,5-Trimethylhexane",397.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"1,7-Octadiene",390.25,110.2,0,8,0,8,0,0,0,2,0,Hydrocarbon
"2,5-Dimethyl-2-hexanol",427.65,130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
4-Methyl-1-hexene,360.15,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"2,6,10-Trimethyldodecane",525.1,212.41,0,15,0,15,0,0,3,0,0,Hydrocarbon
"2,6,10-Trimethylpentadecane",610.12,254.5,0,18,0,18,0,0,3,0,0,Hydrocarbon
2-Butyl-1-octanol,521.15,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
"1,9-Nonanediol",589.88,160.25,40.5,11,2,9,0,2,1,0,0,Alcohol
1-Isopropoxy-2-propanol,410.65,118.17,29.5,8,2,6,0,2,2,0,0,Alcohol
"2,2-Dimethyl-3-pentanol",409.15,116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
"2,3,6-Trimethylheptane",413.06493,142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
3-Ethyl-1-pentene,357.15,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"2-Methyl-1,5-hexadiene",361.15,96.17,0,7,0,7,0,0,1,2,0,Hydrocarbon
2-Hexene,341,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon
"2,6-Dimethyl-2-octene",436.15,140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon
Pentaethylenehexamine,653.15,232.37,100,16,6,10,6,0,1,0,0,Amine
But-2-en-1-ol,392.65,72.11,20.2,5,1,4,0,1,0,1,0,Alcohol
2-Octanol,451.65,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
Tetracontane,795.15,563.1,0,40,0,40,0,0,0,0,0,Hydrocarbon
"2,2,4,4,6,8,8-Heptamethylnonane",519.15,226.44,0,16,0,16,0,0,7,0,0,Hydrocarbon
"1,2,3-Butanetriol",443.15,106.12,60.7,7,3,4,0,3,2,0,0,Alcohol
Diethylbutylamine,409.15,129.24,3.2,9,1,8,1,0,1,0,0,Amine
"3-Methyl-1,5-pentanediol",521.55,118.17,40.5,8,2,6,0,2,1,0,0,Alcohol
2-(2-Ethylbutoxy)ethanol,496.8,146.23,29.5,10,2,8,0,2,1,0,0,Alcohol
6-Methylhept-5-en-2-ol,459.15,128.21,20.2,9,1,8,0,1,2,1,0,Alcohol
2-Methylbut-2-en-1-ol,410.15,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
2-Tetradecanol,557.15,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol
1-Hexen-3-OL,407.15,100.16,20.2,7,1,6,0,1,1,1,0,Alcohol
4-Methyl-1-penten-3-OL,398.15,100.16,20.2,7,1,6,0,1,2,1,0,Alcohol
3-Methyl-1-heptene,384.15,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"N,N'-Dibutyl-1,6-hexanediamine",620.26,228.42,24.1,16,2,14,2,0,0,0,0,Amine
"2,3-Dimethyl-2-pentanol",402.9,116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
1-Hepten-3-OL,426.9,114.19,20.2,8,1,7,0,1,1,1,0,Alcohol
"3,7-Dimethyl-1-octene",428.15,140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon
6-Methyl-1-heptene,386.15,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
1-Butoxy-2-propanol,445.15,132.2,29.5,9,2,7,0,2,1,0,0,Alcohol
1-Methylpentylamine,389.15,101.19,26,7,1,6,1,0,1,0,0,Amine
2-Octyl-1-dodecanol,748.94,298.5,20.2,21,1,20,0,1,1,0,0,Alcohol
3-Methyl-3-octanol,462.15,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
"1,11-Dodecadiene",481.65,166.3,0,12,0,12,0,0,0,2,0,Hydrocarbon
Ditridecylamine,844.65,381.7,12,27,1,26,1,0,0,0,0,Amine
3-Methylnonane,441.15,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
4-Nonanol,465.65,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
2-Pentanol,392.25,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol
2-Methyl-1-hexene,365.15,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
7-Methylpentadecane,565.24,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
3-Ethyl-1-pentyn-3-ol,411.15,112.17,20.2,8,1,7,0,1,2,0,1,Alcohol
"2,4-Dimethyl-1-pentanol",431,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
1-Heptadecene,574.15,238.5,0,17,0,17,0,0,0,1,0,Hydrocarbon
6-Dodecanol,565.9,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
"3,4-Diethyl-3,4-hexanediol",503.15,174.28,40.5,12,2,10,0,2,4,0,0,Alcohol
2-Methyldecane,462.35,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon
2-Methylundecane,484.15,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon
Tetratetracontane,821.15,619.2,0,44,0,44,0,0,0,0,0,Hydrocarbon
"5,5-Dimethylhex-1-ene",375.15,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,3-Dimethyl-2-hexene",395.15,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,3-Dimethyloctane",437.15,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"3,3,5-Trimethylheptane",430.15,142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
Heptatriacontane,778.15,521,0,37,0,37,0,0,0,0,0,Hydrocarbon
"3,7,11-Trimethyldodecan-3-ol",630.87,228.41,20.2,16,1,15,0,1,4,0,0,Alcohol
"3,4,4-Trimethyl-3-pentanol",426.41115,130.229,20.2,9,1,8,0,1,4,0,0,Alcohol
"3,4-Dimethyl-1-pentene",355.15,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
5-Decene,442.75,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon
2-(Dodecyloxy)ethanol,634.52,230.39,29.5,16,2,14,0,2,0,0,0,Alcohol
1-(2-Butoxy-1-methylethoxy)propan-2-ol,564.54,190.28,38.7,13,3,10,0,3,2,0,0,Alcohol
Sec-butylamine,336.15,73.14,26,5,1,4,1,0,1,0,0,Amine
"2,3-Dimethyl-1-pentanol",437.15,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
2-Dodecanol,522.15,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
5-Dodecanol,565.9,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
Tetradec-7-ene,524.08,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon
"N,N'-Bis(3-aminopropyl)ethylenediamine",628.04,174.29,76.1,12,4,8,4,0,1,0,0,Amine
3-Methylhex-2-ene,367,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"2,3-Dimethyl-2-pentene",369.15,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
9-Decen-1-OL,509.15,156.26,20.2,11,1,10,0,1,0,1,0,Alcohol
"4,8,12-Trioxatridecan-1-ol",587.84,206.28,47.9,14,4,10,0,4,0,0,0,Alcohol
3-Methyl-1-hexanol,445.35,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
6-Methyltridecane,519.48,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon
1-Pentadecene,541.55,210.4,0,15,0,15,0,0,0,1,0,Hydrocarbon
1-(2-Methoxypropoxy)-2-propanol,495.9,148.2,38.7,10,3,7,0,3,2,0,0,Alcohol
5-Ethyl-2-methylheptane,432.86,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"2,2,3,3-Tetramethylhexane",433.15,142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,2,4,6,6-Pentamethylheptane",451.15,170.33,0,12,0,12,0,0,5,0,0,Hydrocarbon
"2,3-Dimethylheptane",413.75,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
Tetratriacontane,756.15,478.9,0,34,0,34,0,0,0,0,0,Hydrocarbon
"2,2,4-Trimethylheptane",421.45,142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
4-Methyl-3-heptanol,430.15,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
"2,7-Dimethyl-1-octanol",519.7,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
5-Methylnonane,437.15,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
2-Methyl-1-heptene,392.15,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"4,5-Dimethyl-1-hexene",382.15,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,2,3-Trimethylhexane",407.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,2,4-Trimethylhexane",400.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,3,3-Trimethylhexane",410.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,4,4-Trimethylhexane",403.75,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"3,3,4-Trimethylhexane",412.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,2-dimethylpentane",407.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,3-dimethylpentane",415.15,128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,3,3,4-Tetramethylpentane",414.65,128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon
"2,2,4,5-Tetramethylhexane",421.05,142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,5-Dimethylundecane",488.15,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,6-Dimethylundecane",496.16,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,8-Dimethylundecane",496.16,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
4-Methylnonane,439.15,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
"2,5-Dimethylnonane",452.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,6-Dimethylnonane",452.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"3,7-Dimethylnonane",457.15,156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,2-Dimethyldecane",474.15,170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"3,7-Dimethyldecane",475.15,170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
3-Methyldodecane,503.45,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon
"3,3-Dimethylundecane",493.81,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,4-Dimethylundecane",493.81,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"5,5-Dimethylundecane",493.81,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"6,6-Dimethylundecane",493.81,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,5-Dimethylundecane",496.16,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,4-Dimethylundecane",489.15,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,6-Dimethylundecane",496.16,184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,6,10,14-Tetramethylheptadecane",678.32,296.6,0,21,0,21,0,0,4,0,0,Hydrocarbon
1-Nonadecene,604.15,266.5,0,19,0,19,0,0,0,1,0,Hydrocarbon
Dihydromyrcenol,513.59,156.26,20.2,11,1,10,0,1,3,1,0,Alcohol
1-Hexacosene,684.15,364.7,0,26,0,26,0,0,0,1,0,Hydrocarbon
2-Ethoxy-1-propanol,413.65,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
"2,6-Dimethyl-3-heptanol",448.15,144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"3,5-Dimethyl-4-heptanol",452.15,144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"2,3-Dimethylbutan-1-ol",415,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
7-Methylheptadecane,611,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon
"1,12-Tridecadiene",490.4,180.33,0,13,0,13,0,0,0,2,0,Hydrocarbon
"1,13-Tetradecadiene",513.28,194.36,0,14,0,14,0,0,0,2,0,Hydrocarbon
Di-tert-butylamine,366.65,129.24,12,9,1,8,1,0,4,0,0,Amine
8-Methylpentadecane,565.24,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
Tributylborane,482.15,182.16,0,13,0,12,0,0,2,0,0,Hydrocarbon
Myrcene,444.15,136.23,0,10,0,10,0,0,2,3,0,Hydrocarbon
"2,2,4-Trimethyl-1-pentanol",438.76616,130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
Isoamyl alcohol,403.95,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol
Diallylamine,385.15,97.16,12,7,1,6,1,0,0,2,0,Amine
1-Nonene,420.05,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon
1-(2-Butoxyethoxy)-2-propanol,507.15,176.25,38.7,12,3,9,0,3,1,0,0,Alcohol
Neopentyl glycol,480.15,104.15,40.5,7,2,5,0,2,2,0,0,Alcohol
Dipentaerythritol,997.44,254.28,131,17,7,10,0,7,5,0,0,Alcohol
"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",528.15,226.35,40.5,16,2,14,0,2,6,0,1,Alcohol
"2,2,5,5-Tetramethylhex-3-ene",424.15,140.27,0,10,0,10,0,0,4,1,0,Hydrocarbon
"5,5-Dimethyl-3-heptyne",411.29,124.22,0,9,0,9,0,0,2,0,1,Hydrocarbon
6-Undecanol,501.15,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
Tripropylene glycol,535.15,192.25,58.9,13,4,9,0,4,3,0,0,Alcohol
5-Methylpentadecane,565.24,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
"4-Methylhepta-1,6-dien-4-ol",431.55,126.2,20.2,9,1,8,0,1,2,2,0,Alcohol
2-(2-Hydroxypropoxy)propan-1-ol,542.78,134.17,49.7,9,3,6,0,3,2,0,0,Alcohol
Isodecanol,520.14,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
trans-2-Decene,446.55,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon
2-Tridecene,501.2,182.35,0,13,0,13,0,0,0,1,0,Hydrocarbon
Oct-3-ene,396.15,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon
"2,5-Dimethyl-1-hexene",384.75,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
7-Methyltridecane,519.48,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon
2-Hexyne,357.45,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon
2-Tetradecene,513.15,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon
4-Tetradecanol,611.66,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol
2-Nonene,420.15,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon
Isotridecanol,588.78,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
"2,6-Nonadien-1-ol",369.65,140.22,20.2,10,1,9,0,1,0,2,0,Alcohol
3-Heptanamine,414.15,115.22,26,8,1,7,1,0,1,0,0,Amine
"2,6,11-Trimethyldodecane",541.48,212.41,0,15,0,15,0,0,3,0,0,Hydrocarbon
3-Methyl-2-heptanol,439.15,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
Hept-2-en-1-ol,456.1,114.19,20.2,8,1,7,0,1,0,1,0,Alcohol
N-Methylhexylamine,400.15,115.22,12,8,1,7,1,0,0,0,0,Amine
"1,10-Decanediol",574,174.28,40.5,12,2,10,0,2,1,0,0,Alcohol
2-(Tridecyloxy)ethanol,657.4,244.41,29.5,17,2,15,0,2,0,0,0,Alcohol
"1,3-Hexadiene",337.72,82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
Tridecylamine,546.15,199.38,26,14,1,13,1,0,0,0,0,Amine
1-Methoxy-2-butanol,407.15,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
7-Octen-4-OL,471.06,128.21,20.2,9,1,8,0,1,1,1,0,Alcohol
5-Methyl-2-heptanol,445.15,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
5-Hexen-2-OL,412.15,100.16,20.2,7,1,6,0,1,1,1,0,Alcohol
10-Methylicosane,679.64,296.6,0,21,0,21,0,0,1,0,0,Hydrocarbon
"2,6,10,15-Tetramethylheptadecane",678.32,296.6,0,21,0,21,0,0,4,0,0,Hydrocarbon
"2,6,10-Trimethylhexadecane",633,268.5,0,19,0,19,0,0,3,0,0,Hydrocarbon
"4,8-Dimethyltridecane",541.92,212.41,0,15,0,15,0,0,2,0,0,Hydrocarbon
5-Propyltridecane,565.24,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
4-Ethyltetradecane,565.24,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
"2,6,10,14-Tetramethylnonadecane",724.08,324.6,0,23,0,23,0,0,4,0,0,Hydrocarbon
"2,2,3-Trimethylnonane",473.15,170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"3,6-Nonadien-1-ol",506.02,140.22,20.2,10,1,9,0,1,0,2,0,Alcohol
2-Heptadecanol,601.15,256.5,20.2,18,1,17,0,1,1,0,0,Alcohol
Diglycerol,727.14,166.17,90.2,11,5,6,0,5,3,0,0,Alcohol
2-Methylhexan-1-ol,441.65,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
"2,3,7-Trimethyloctane",452.15,156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2-Ethyl-1,3-butanediol",520.36,118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
3-Ethylheptane,416.25,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
"N,N-Diethylethylenediamine",417.15,116.2,29.3,8,2,6,2,0,1,0,0,Amine
3-(Diethylamino)propylamine,438.15,130.229,29.3,9,2,7,2,0,1,0,0,Amine
tert-Octylamine,413.19803,129.24,26,9,1,8,1,0,4,0,0,Amine
"3,5-Dimethyl-1-hexyn-3-ol",421.15,126.2,20.2,9,1,8,0,1,3,0,1,Alcohol
"2-Butyl-2-ethyl-1,3-propanediol",542.15,160.25,40.5,11,2,9,0,2,2,0,0,Alcohol
"2,6,8-Trimethyl-4-nonanol",498.55,186.33,20.2,13,1,12,0,1,4,0,0,Alcohol
"2-Methyl-1,3-pentanediol",487.65,118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
"2,3,4-Trimethylpent-1-ene",380.65,112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"1,3-Butanediamine",413.15,88.15,52,6,2,4,2,0,1,0,0,Amine
"N,N-Dimethylpropylamine",338.15,87.16,3.2,6,1,5,1,0,1,0,0,Amine
3-Methoxy-3-methylbutan-1-ol,448.15,118.17,29.5,8,2,6,0,2,2,0,0,Alcohol
"1,3-Pentadiene",315,68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
Cetostearyl alcohol,598.15,512.9,40.5,36,2,34,0,2,0,0,0,Alcohol
Pentaethylene glycol,702.44,238.28,77.4,16,6,10,0,6,1,0,0,Alcohol
2-Butene,274.03,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon
"1,3-Butadiene, 2-methyl-, polymer with 2-methyl-1-propene",396.72,124.22,0,9,0,9,0,0,2,3,0,Hydrocarbon
2-(Decyloxy)ethanol,588.76,202.33,29.5,14,2,12,0,2,0,0,0,Alcohol
16-Methylheptadecan-1-ol,703.18,270.5,20.2,19,1,18,0,1,1,0,0,Alcohol
"3,7-Dimethyloct-6-en-1-yn-3-ol",511.51,152.23,20.2,11,1,10,0,1,3,1,1,Alcohol
Trihexylamine,534.85,269.5,3.2,19,1,18,1,0,1,0,0,Amine
"N,N,N'-Triethylethylenediamine",327.65,144.26,15.3,10,2,8,2,0,1,0,0,Amine
"N,N-Dimethylethylenediamine",377.15,88.15,29.3,6,2,4,2,0,1,0,0,Amine
"N,N,N',N'-Tetramethyl-1,4-butanediamine",441.15,144.26,6.5,10,2,8,2,0,2,0,0,Amine
"2,4-Dimethyl-1,3-pentadiene",367.15,96.17,0,7,0,7,0,0,2,2,0,Hydrocarbon
Tetramethylallene,356.15,96.17,0,7,0,7,0,0,2,2,0,Hydrocarbon
3-Hexyn-1-ol,435.15,98.14,20.2,7,1,6,0,1,0,0,1,Alcohol
"2,2,7,7-Tetramethyloctane",459.00627,170.33,0,12,0,12,0,0,4,0,0,Hydrocarbon
"2-Ethyl-2-methyl-1,3-propanediol",498.95,118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
"3-Methyl-1,4-pentadiene",325.15,82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
Tripentaerythritol,1315.39,372.41,180,25,10,15,0,10,7,0,0,Alcohol
"2-Methyl-2-propylpropane-1,3-diol",507.15,132.2,40.5,9,2,7,0,2,2,0,0,Alcohol
4-Dodecanol,565.9,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
3-Pentyn-1-ol,427.15,84.12,20.2,6,1,5,0,1,0,0,1,Alcohol
3-Tridecanol,588.78,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
3-Methyl-3-buten-2-ol,387.15,86.13,20.2,6,1,5,0,1,2,1,0,Alcohol
2-Methyl-1-undecanol,565.9,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
"1,4,7-Trimethyldiethylenetriamine",472.54,145.25,27.3,10,3,7,3,0,1,0,0,Amine
"(S)-3,7-Dimethyl-1,6-octadien-3-ol",360.65,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
"N,N,N',N'-Tetraethylethylenediamine",465.15,172.31,6.5,12,2,10,2,0,2,0,0,Amine
1-Hexacosanol,886.66,382.7,20.2,27,1,26,0,1,0,0,0,Alcohol
1-Octacosanol,932.42,410.8,20.2,29,1,28,0,1,0,0,0,Alcohol
"2-Methylpropane-1,2-diol",450.15,90.12,40.5,6,2,4,0,2,2,0,0,Alcohol
1-Triacontanol,978.18,438.8,20.2,31,1,30,0,1,0,0,0,Alcohol
Trimethylborane,252.95,55.92,0,4,0,3,0,0,2,0,0,Hydrocarbon
2-Methylbutan-2-amine,350.15,87.16,26,6,1,5,1,0,2,0,0,Amine
3-Ethyl-3-hexanol,433.15,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
4-Ethyl-4-heptanol,452.15,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
"3,7-Dimethyl-1,7-octadien-3-ol",510.59,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
3-Methyl-1-butyne,301.15,68.12,0,5,0,5,0,0,1,0,1,Hydrocarbon
3-Buten-1-ol,385.15,72.11,20.2,5,1,4,0,1,0,1,0,Alcohol
N-Allylmethylamine,337.15,71.12,12,5,1,4,1,0,0,1,0,Amine
"1,5-Hexadiyne",361.15,78.11,0,6,0,6,0,0,0,0,2,Hydrocarbon
"1,8-Octanediol",418.15,146.23,40.5,10,2,8,0,2,1,0,0,Alcohol
1-Octadecyne,586.15,250.5,0,18,0,18,0,0,0,0,1,Hydrocarbon
Triisopentylamine,508.15,227.43,3.2,16,1,15,1,0,4,0,0,Amine
"2,2-Dimethylhex-3-ene",374.05,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
2-Methylhept-3-ene,387.13,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"5-Methyl-1,4-hexadiene",364.98821,96.17,0,7,0,7,0,0,1,2,0,Hydrocarbon
